Course,Form,Language,School,Data Type,2010,2011,2012,2013,2014
Mathematics 6,1,All,1367,% Acceptable,100,98.8,98.9,98.9,97.7
Mathematics 6,1,All,1367,% Excellence,56.3,67.9,55.7,59.6,26.4
Mathematics 6,1,All,1367,Mark,87,83.7,80,77.3,68.1
Science 6,1,All,1367,% Acceptable,100,98.8,97.7,98.9,100
Science 6,1,All,1367,% Excellence,75.9,77.4,68.2,71.9,58.6
Science 6,1,All,1367,Mark,83.9,86.5,84.5,83.7,79
Social Studies 6,1,All,1367,% Acceptable,97.7,94,94.4,95.5,95.4
Social Studies 6,1,All,1367,% Excellence,41.4,48.8,46.1,42.7,37.9
Social Studies 6,1,All,1367,Mark,81.4,80.8,75.8,75.7,76.9
English Lang Arts 9 KAE,1,English,1752,% Acceptable,null,null,null,null,78.6
English Lang Arts 9 KAE,1,English,1752,% Excellence,null,null,null,null,7.1
English Lang Arts 9 KAE,1,English,1752,Mark,null,null,null,null,68.1
English Language Arts 9,1,English,1752,% Acceptable,null,null,null,null,92.4
English Language Arts 9,1,English,1752,% Excellence,null,null,null,null,15.3
English Language Arts 9,1,English,1752,Mark,null,null,null,null,65.7
Mathematics 9,1,All,1752,% Acceptable,null,null,null,null,72.7
Mathematics 9,1,All,1752,% Excellence,null,null,null,null,16.7
Mathematics 9,1,All,1752,Mark,null,null,null,null,57.7
Mathematics 9 KAE,1,All,1752,% Acceptable,null,null,null,null,87.5
Mathematics 9 KAE,1,All,1752,% Excellence,null,null,null,null,31.3
Mathematics 9 KAE,1,All,1752,Mark,null,null,null,null,71.1
Science 9,1,All,1752,% Acceptable,null,null,null,null,82
Science 9,1,All,1752,% Excellence,null,null,null,null,27.8
Science 9,1,All,1752,Mark,null,null,null,null,66.5
Science 9 KAE,1,All,1752,% Acceptable,null,null,null,null,93.8
Science 9 KAE,1,All,1752,% Excellence,null,null,null,null,37.5
Science 9 KAE,1,All,1752,Mark,null,null,null,null,74.4
Social Studies 9,1,All,1752,% Acceptable,null,null,null,null,80.3
Social Studies 9,1,All,1752,% Excellence,null,null,null,null,28.8
Social Studies 9,1,All,1752,Mark,null,null,null,null,69
Social Studies 9 KAE,1,All,1752,% Acceptable,null,null,null,null,87.5
Social Studies 9 KAE,1,All,1752,% Excellence,null,null,null,null,18.8
Social Studies 9 KAE,1,All,1752,Mark,null,null,null,null,72.6
English Language Arts 6,1,English,1753,% Acceptable,null,null,null,null,87
English Language Arts 6,1,English,1753,% Excellence,null,null,null,null,21.7
English Language Arts 6,1,English,1753,Mark,null,null,null,null,64.5
French Language Arts 6,1,French,1753,% Acceptable,null,null,null,null,78.3
French Language Arts 6,1,French,1753,% Excellence,null,null,null,null,4.3
French Language Arts 6,1,French,1753,Mark,null,null,null,null,60.5
Mathematics 6,1,All,1753,% Acceptable,null,null,null,null,69.6
Mathematics 6,1,All,1753,Mark,null,null,null,null,46
Mathematics 6 (Fr),1,French,1753,% Acceptable,null,null,null,null,69.6
Mathematics 6 (Fr),1,French,1753,Mark,null,null,null,null,46
Science 6,1,All,1753,% Acceptable,null,null,null,null,73.9
Science 6,1,All,1753,% Excellence,null,null,null,null,8.7
Science 6,1,All,1753,Mark,null,null,null,null,53.6
Science 6 (Fr),1,French,1753,% Acceptable,null,null,null,null,73.9
Science 6 (Fr),1,French,1753,% Excellence,null,null,null,null,8.7
Science 6 (Fr),1,French,1753,Mark,null,null,null,null,53.6
Social Studies 6,1,All,1753,% Acceptable,null,null,null,null,56.5
Social Studies 6,1,All,1753,Mark,null,null,null,null,51.2
English Lang Arts 9 KAE,1,English,3301,% Acceptable,93.3,100,100,80,100
English Lang Arts 9 KAE,1,English,3301,% Excellence,13.3,7.1,0,0,0
English Lang Arts 9 KAE,1,English,3301,Mark,70.7,70.6,73,58.6,68
English Language Arts 9,1,English,3301,% Acceptable,95,99.1,93.9,91.4,91.6
English Language Arts 9,1,English,3301,% Excellence,16.8,27.6,14.5,19.3,21.5
English Language Arts 9,1,English,3301,Mark,66.9,72.3,69,68.1,69.1
French Language Arts 9,1,French,3301,% Acceptable,95.2,87,90.9,84.4,86.2
French Language Arts 9,1,French,3301,% Excellence,9.5,8.7,0,12.5,3.4
French Language Arts 9,1,French,3301,Mark,73.4,68.1,67.4,68.3,67.4
Biology 30,,All,3301,% Acceptable,96.1,100,98.8,98.3,98.4
Biology 30,,All,3301,% Excellence,25.5,45.4,51.8,46.2,47.6
Biology 30,,All,3301,Course Mark,75.7,79.6,80.4,78.9,80.4
Biology 30,,All,3301,Exam Mark,64.3,74.2,72.2,69.9,71.1
Chemistry 30,,All,3301,% Acceptable,98.6,98,96.3,98.2,94.1
Chemistry 30,,All,3301,% Excellence,47.8,40,37.5,28.1,52.9
Chemistry 30,,All,3301,Course Mark,77.6,73.9,77.2,72.9,76.9
Chemistry 30,,All,3301,Exam Mark,74.3,69,71.5,70.3,76.2
English Lang Arts 30-1,,All,3301,% Acceptable,100,100,98.9,98.9,96.7
English Lang Arts 30-1,,All,3301,% Excellence,13.5,14.5,19.4,16.9,17.6
English Lang Arts 30-1,,All,3301,Course Mark,74,73.2,74.5,74.2,71.6
English Lang Arts 30-1,,All,3301,Exam Mark,62.5,64.7,65.5,63.1,66.7
English Lang Arts 30-2,,All,3301,% Acceptable,95.7,93.3,97.4,100,98.2
English Lang Arts 30-2,,All,3301,% Excellence,2.1,6.7,13.2,2.5,3.6
English Lang Arts 30-2,,All,3301,Course Mark,63.8,68.1,68.6,58.7,61.6
English Lang Arts 30-2,,All,3301,Exam Mark,62.9,67.7,68.1,67.4,69.4
French Lang Arts 30-1,,All,3301,% Acceptable,100,94.4,100,100,100
French Lang Arts 30-1,,All,3301,% Excellence,8.3,27.8,9.5,23.5,14.3
French Lang Arts 30-1,,All,3301,Course Mark,77.9,72.9,72.8,77.5,75.1
French Lang Arts 30-1,,All,3301,Exam Mark,62.5,66.1,68.1,70.8,68.9
Mathematics 30-1,,All,3301,% Acceptable,null,null,null,96.3,100
Mathematics 30-1,,All,3301,% Excellence,null,null,null,32.9,44.3
Mathematics 30-1,,All,3301,Course Mark,null,null,null,75.5,81.1
Mathematics 30-1,,All,3301,Exam Mark,null,null,null,69,74.4
Mathematics 30-2,,All,3301,% Acceptable,null,null,null,84,74.4
Mathematics 30-2,,All,3301,% Excellence,null,null,null,12,11.6
Mathematics 30-2,,All,3301,Course Mark,null,null,null,56.6,58.7
Mathematics 30-2,,All,3301,Exam Mark,null,null,null,58.3,57.6
Physics 30,,All,3301,% Acceptable,100,91.7,100,88.6,100
Physics 30,,All,3301,% Excellence,66.7,30.6,40,40,53.8
Physics 30,,All,3301,Course Mark,79.8,70.6,80.3,75.1,79.3
Physics 30,,All,3301,Exam Mark,79.6,63.6,75.3,67.3,76.9
Social Studies 30-1,,All,3301,% Acceptable,97.1,98.5,98.6,100,98.6
Social Studies 30-1,,All,3301,% Excellence,12.9,10.6,31,22.9,27.5
Social Studies 30-1,,All,3301,Course Mark,71,71,76,73.9,73.6
Social Studies 30-1,,All,3301,Exam Mark,63.4,65.3,71,67.9,67.8
Social Studies 30-2,,All,3301,% Acceptable,94.4,97.8,98.4,100,98.6
Social Studies 30-2,,All,3301,% Excellence,5.6,13.3,24.2,18,16.2
Social Studies 30-2,,All,3301,Course Mark,64.8,68,70.6,70.1,69.9
Social Studies 30-2,,All,3301,Exam Mark,60.1,69.2,70.5,66.8,69.2
English Language Arts 3,1,English,3303,% Acceptable,98.4,97.3,93.5,98.3,null
English Language Arts 3,1,English,3303,% Excellence,29.5,6.8,22.6,24.1,null
English Language Arts 3,1,English,3303,Mark,74.1,71.8,69.3,73.2,null
French Language Arts 3,1,French,3303,% Acceptable,100,87.5,100,78.9,null
French Language Arts 3,1,French,3303,% Excellence,13.3,8.3,5,5.3,null
French Language Arts 3,1,French,3303,Mark,73.1,66.8,69,62.7,null
Mathematics 3,1,All,3303,% Acceptable,91.8,80.8,88.7,86.2,null
Mathematics 3,1,English,3303,% Acceptable,89.1,81.6,88.1,89.7,null
Mathematics 3,1,All,3303,% Excellence,23,21.9,35.5,36.2,null
Mathematics 3,1,English,3303,% Excellence,21.7,28.6,38.1,48.7,null
Mathematics 3,1,All,3303,Mark,74.3,71,73.3,74.3,null
Mathematics 3,1,English,3303,Mark,72.1,72.1,74.2,80.3,null
Mathematics 3 (Fr),1,French,3303,% Acceptable,100,79.2,90,78.9,null
Mathematics 3 (Fr),1,French,3303,% Excellence,26.7,8.3,30,10.5,null
Mathematics 3 (Fr),1,French,3303,Mark,81.1,68.8,71.5,62,null
English Language Arts 6,1,English,3303,% Acceptable,96.3,96.6,98.5,94.7,91.8
English Language Arts 6,1,English,3303,% Excellence,27.2,20.3,18.2,24,18.8
English Language Arts 6,1,English,3303,Mark,68,68.3,69.3,69.5,67.7
French Language Arts 6,1,French,3303,% Acceptable,87.5,100,88,83.3,92.3
French Language Arts 6,1,French,3303,% Excellence,18.8,0,4,11.1,7.7
French Language Arts 6,1,French,3303,Mark,69,65.7,62,66.1,67
Mathematics 6,1,All,3303,% Acceptable,82.7,88.1,81.5,81.1,81.2
Mathematics 6,1,English,3303,% Acceptable,83.1,91.1,92.3,78.6,79.7
Mathematics 6,1,English,3303,% Excellence,16.9,6.7,7.7,17.9,10.2
Mathematics 6,1,All,3303,% Excellence,16,8.5,7.7,17.6,11.8
Mathematics 6,1,All,3303,Mark,69.4,62.9,60.2,57.3,55.9
Mathematics 6,1,English,3303,Mark,70,63.9,66.6,57,54.3
Mathematics 6 (Fr),1,French,3303,% Acceptable,81.3,78.6,65.4,88.9,84.6
Mathematics 6 (Fr),1,French,3303,% Excellence,12.5,14.3,7.7,16.7,15.4
Mathematics 6 (Fr),1,French,3303,Mark,66.8,60,50.6,58.2,59.6
Science 6,1,All,3303,% Acceptable,88.9,96.6,84.6,82.4,87.8
Science 6,1,English,3303,% Acceptable,92.3,97.8,92.3,82.1,87.7
Science 6,1,All,3303,% Excellence,21,28.8,26.2,28.4,20.7
Science 6,1,English,3303,% Excellence,21.5,33.3,33.3,30.4,17.5
Science 6,1,All,3303,Mark,65.5,72.1,68.9,66.7,64.5
Science 6,1,English,3303,Mark,66.6,73.9,74.6,66.4,63.1
Science 6 (Fr),1,French,3303,% Acceptable,75,92.9,73.1,83.3,88
Science 6 (Fr),1,French,3303,% Excellence,18.8,14.3,15.4,22.2,28
Science 6 (Fr),1,French,3303,Mark,61.4,66.1,60.4,67.7,67.8
Social Studies 6,1,All,3303,% Acceptable,74.1,79.7,78.5,80.6,78
Social Studies 6,1,English,3303,% Acceptable,73.8,84.4,92.3,78.2,80.4
Social Studies 6,1,All,3303,% Excellence,13.6,13.6,9.2,16.7,11
Social Studies 6,1,English,3303,% Excellence,12.3,15.6,12.8,16.4,10.7
Social Studies 6,1,All,3303,Mark,63.5,66.8,59.2,62.9,62.2
Social Studies 6,1,English,3303,Mark,63.1,69,65.6,62.4,62.7
English Language Arts 3,1,English,3304,% Acceptable,85,95,89.5,88,null
English Language Arts 3,1,English,3304,% Excellence,20,30,15.8,4,null
English Language Arts 3,1,English,3304,Mark,67.6,75.3,71.3,62.4,null
Mathematics 3,1,All,3304,% Acceptable,null,85,89.5,72,null
Mathematics 3,1,All,3304,% Excellence,null,25,42.1,12,null
Mathematics 3,2,All,3304,Mark,66.3,null,null,null,null
Mathematics 3,1,All,3304,Mark,null,73.9,75.3,63.6,null
English Language Arts 6,1,English,3304,% Acceptable,92,100,100,94.4,94.1
English Language Arts 6,1,English,3304,% Excellence,40,20,26.7,13.9,41.2
English Language Arts 6,1,English,3304,Mark,70.5,67.6,70.7,66.1,73.7
Mathematics 6,1,All,3304,% Acceptable,null,92,80,75,94.1
Mathematics 6,1,All,3304,% Excellence,null,8,13.3,5.6,17.6
Mathematics 6,2,All,3304,Mark,67.8,null,null,null,null
Mathematics 6,1,All,3304,Mark,null,65.5,63.2,50.1,62.2
Science 6,1,All,3304,% Acceptable,88,92,93.3,75,100
Science 6,1,All,3304,% Excellence,44,24,26.7,19.4,17.6
Science 6,1,All,3304,Mark,73.9,72.2,73.3,63.4,72
Social Studies 6,1,All,3304,% Acceptable,84,96,93.3,88.9,88.2
Social Studies 6,1,All,3304,% Excellence,24,20,26.7,36.1,41.2
Social Studies 6,1,All,3304,Mark,70.7,74.2,69.3,68.3,77.1
English Language Arts 9,1,English,3307,% Acceptable,60,80,62.5,90,20
English Language Arts 9,1,English,3307,% Excellence,0,0,12.5,40,0
English Language Arts 9,1,English,3307,Mark,52.2,60.7,53.4,72.4,40.8
Mathematics 9,1,All,3307,% Acceptable,66.7,75,66.7,83.3,50
Mathematics 9,1,All,3307,% Excellence,11.1,0,11.1,25,0
Mathematics 9,1,All,3307,Mark,57.1,55.5,52.9,61.8,52
Mathematics 9 KAE,1,All,3307,% Acceptable,null,null,100,null,null
Mathematics 9 KAE,1,All,3307,Mark,null,null,76,null,null
Science 9,1,All,3307,% Acceptable,58.3,62.5,88.9,100,80
Science 9,1,All,3307,% Excellence,16.7,0,11.1,41.7,0
Science 9,1,All,3307,Mark,54.1,51.4,58.8,74.5,59.6
Social Studies 9,1,All,3307,% Acceptable,46.2,62.5,55.6,91.7,66.7
Social Studies 9,1,All,3307,% Excellence,0,12.5,22.2,25,0
Social Studies 9,1,All,3307,Mark,54.8,62,55.3,69.8,64
Biology 30,,All,3307,% Acceptable,88.6,91.5,96.7,96.3,90.3
Biology 30,,All,3307,% Excellence,14.3,14.9,23.3,25.9,29
Biology 30,,All,3307,Course Mark,75.9,77.2,75.2,74.3,74.7
Biology 30,,All,3307,Exam Mark,54.1,52.1,62.1,62,66.2
Chemistry 30,,All,3307,% Acceptable,84.6,100,80,93.5,96.2
Chemistry 30,,All,3307,% Excellence,15.4,16,10,16.1,26.9
Chemistry 30,,All,3307,Course Mark,76.6,86.2,69.3,76.3,77.1
Chemistry 30,,All,3307,Exam Mark,58.5,55.7,53.2,63.4,61.8
English Lang Arts 30-1,,All,3307,% Acceptable,95.6,96.7,100,98.3,96.2
English Lang Arts 30-1,,All,3307,% Excellence,13.3,16.7,10.1,5.1,13.2
English Lang Arts 30-1,,All,3307,Course Mark,78.9,81.3,70.6,71.4,71.4
English Lang Arts 30-1,,All,3307,Exam Mark,59,58.2,58.8,59.2,61.4
English Lang Arts 30-2,,All,3307,% Acceptable,95.5,100,93.9,100,100
English Lang Arts 30-2,,All,3307,% Excellence,13.6,10,9.1,8.8,23.8
English Lang Arts 30-2,,All,3307,Course Mark,65.1,71.6,67.4,71.3,72.9
English Lang Arts 30-2,,All,3307,Exam Mark,63.2,63.6,64.7,63.4,69.5
Mathematics 30-1,,All,3307,% Acceptable,null,null,null,89.3,81.3
Mathematics 30-1,,All,3307,% Excellence,null,null,null,17.9,25
Mathematics 30-1,,All,3307,Course Mark,null,null,null,77.1,79.7
Mathematics 30-1,,All,3307,Exam Mark,null,null,null,59.5,57.7
Mathematics 30-2,,All,3307,% Acceptable,null,null,null,80,100
Mathematics 30-2,,All,3307,% Excellence,null,null,null,30,13
Mathematics 30-2,,All,3307,Course Mark,null,null,null,67,70.2
Mathematics 30-2,,All,3307,Exam Mark,null,null,null,66.7,64.1
Physics 30,,All,3307,% Acceptable,77.8,87.5,87.5,87.5,100
Physics 30,,All,3307,% Excellence,11.1,25,18.8,18.8,28.6
Physics 30,,All,3307,Course Mark,68.7,78.5,71.4,76.3,80.4
Physics 30,,All,3307,Exam Mark,51.1,55.1,54.9,60.3,66.4
Science 30,,All,3307,% Acceptable,100,100,100,100,100
Science 30,,All,3307,% Excellence,15,50,36,51.9,40.6
Science 30,,All,3307,Course Mark,71.1,82.3,77.5,79,78
Science 30,,All,3307,Exam Mark,67.5,66.4,71.8,76,71.8
Social Studies 30-1,,All,3307,% Acceptable,null,100,100,95,100
Social Studies 30-1,,All,3307,% Excellence,null,16.3,7.7,10,10.5
Social Studies 30-1,,All,3307,Course Mark,null,79.6,75.9,70,70.3
Social Studies 30-1,,All,3307,Exam Mark,null,60.8,56.6,55.1,60.9
Social Studies 30-2,,All,3307,% Acceptable,null,91.9,96.5,100,91.8
