Course,Form,Language,School,Data Type,2010,2011,2012,2013,2014
Science 30,,All,3311,Course Mark,63.7,68.2,null,61.8,64.4
Science 30,,All,3311,Exam Mark,63.3,60,null,68.7,67.6
Social Studies 30-1,,All,3311,% Acceptable,89.9,87.1,98.6,94.7,97.2
Social Studies 30-1,,All,3311,% Excellence,7.6,10.8,9.7,15.8,11.3
Social Studies 30-1,,All,3311,Course Mark,67.7,66.7,71.7,69.1,72.2
Social Studies 30-1,,All,3311,Exam Mark,55.8,56,61.3,61.3,63.3
Social Studies 30-2,,All,3311,% Acceptable,90.5,96,95.8,97.2,96.8
Social Studies 30-2,,All,3311,% Excellence,3.2,0,7,6.9,8.1
Social Studies 30-2,,All,3311,Course Mark,59.8,61,62.8,65.8,65
Social Studies 30-2,,All,3311,Exam Mark,59.5,60,63.4,65,63.8
English Language Arts 3,1,English,3313,% Acceptable,100,100,83.3,87.8,null
English Language Arts 3,1,English,3313,% Excellence,35.7,7.1,9.5,22,null
English Language Arts 3,1,English,3313,Mark,77,66.6,62.6,68.6,null
Mathematics 3,1,All,3313,% Acceptable,100,80.5,71.4,78.6,null
Mathematics 3,1,All,3313,% Excellence,39.3,17.1,2.4,26.2,null
Mathematics 3,1,All,3313,Mark,85,68.2,61.8,69.9,null
English Language Arts 6,1,English,3313,% Acceptable,94.6,92.2,100,96.6,95.3
English Language Arts 6,1,English,3313,% Excellence,5.4,7.8,25,13.8,16.3
English Language Arts 6,1,English,3313,Mark,62.7,63.9,69.9,67.7,65.8
Mathematics 6,1,All,3313,% Acceptable,75,86.3,95.8,93.1,76.7
Mathematics 6,1,All,3313,% Excellence,8.9,11.8,20.8,13.8,9.3
Mathematics 6,1,All,3313,Mark,61.9,63.4,65,60.2,52.1
Science 6,1,All,3313,% Acceptable,76.8,88.2,93.8,93.1,86
Science 6,1,All,3313,% Excellence,17.9,29.4,37.5,24.1,27.9
Science 6,1,All,3313,Mark,60.5,69.5,73,69.9,64.2
Social Studies 6,1,All,3313,% Acceptable,62.5,82.4,83.3,82.8,67.4
Social Studies 6,1,All,3313,% Excellence,14.3,15.7,25,10.3,9.3
Social Studies 6,1,All,3313,Mark,60.4,69.3,66.3,64.5,58.8
English Language Arts 3,1,English,3316,% Acceptable,100,92.3,97.2,93.2,null
English Language Arts 3,1,English,3316,% Excellence,13.8,12.8,11.1,6.8,null
English Language Arts 3,1,English,3316,Mark,71.3,68.1,70.7,67.6,null
Mathematics 3,1,All,3316,% Acceptable,96.6,89.7,97.2,81.8,null
Mathematics 3,1,All,3316,% Excellence,20.7,30.8,25,29.5,null
Mathematics 3,1,All,3316,Mark,74.3,73.1,73.6,70,null
English Language Arts 6,1,English,3316,% Acceptable,92.3,100,100,100,93.6
English Language Arts 6,1,English,3316,% Excellence,23.1,32.4,25.8,30.6,21.3
English Language Arts 6,1,English,3316,Mark,68.2,71.6,70.7,72.8,69.2
Mathematics 6,1,All,3316,% Acceptable,92.3,94.1,93.5,94.4,84.8
Mathematics 6,1,All,3316,% Excellence,23.1,20.6,29,44.4,28.3
Mathematics 6,1,All,3316,Mark,73.6,68.8,69,71.5,64.1
Science 6,1,All,3316,% Acceptable,94.9,100,96.7,100,93.6
Science 6,1,All,3316,% Excellence,53.8,47.1,66.7,63.9,57.4
Science 6,1,All,3316,Mark,73.5,80.6,81.4,81,76.7
Social Studies 6,1,All,3316,% Acceptable,94.9,100,96.8,97.2,85.1
Social Studies 6,1,All,3316,% Excellence,25.6,47.1,41.9,55.6,34
Social Studies 6,1,All,3316,Mark,75.1,82.4,75.9,79.7,70.2
English Language Arts 3,1,English,3318,% Acceptable,50,87.5,100,93.3,null
English Language Arts 3,1,English,3318,% Excellence,12.5,0,9.1,26.7,null
English Language Arts 3,1,English,3318,Mark,55.1,66.9,69.8,69.3,null
Mathematics 3,1,All,3318,% Acceptable,50,75,90.9,86.7,null
Mathematics 3,1,All,3318,% Excellence,12.5,37.5,27.3,26.7,null
Mathematics 3,1,All,3318,Mark,54.4,73.8,74.1,69.8,null
English Language Arts 6,1,English,3318,% Acceptable,76.9,80,100,60,100
English Language Arts 6,1,English,3318,% Excellence,46.2,40,50,0,25
English Language Arts 6,1,English,3318,Mark,65.8,68.5,78.8,58.8,74.8
Mathematics 6,1,All,3318,% Acceptable,64.3,80,100,60,100
Mathematics 6,1,All,3318,% Excellence,28.6,20,75,20,50
Mathematics 6,1,All,3318,Mark,63.5,62,83,45.2,66
Science 6,1,All,3318,% Acceptable,78.6,80,100,80,100
Science 6,1,All,3318,% Excellence,42.9,60,100,20,50
Science 6,1,All,3318,Mark,62.6,71.4,92,63.6,81
Social Studies 6,1,All,3318,% Acceptable,64.3,80,100,80,100
Social Studies 6,1,All,3318,% Excellence,35.7,30,50,20,50
Social Studies 6,1,All,3318,Mark,60.5,75,79.5,63.2,78.5
English Language Arts 9,1,English,3321,% Acceptable,93.9,91.2,88.8,92.5,90.8
English Language Arts 9,1,English,3321,% Excellence,24.8,19.1,13.8,14.5,19.4
English Language Arts 9,1,English,3321,Mark,69.7,68.4,66.6,67.7,68.9
Mathematics 9,1,All,3321,% Acceptable,null,70.1,74,81.3,81.1
Mathematics 9,1,All,3321,% Excellence,null,11.3,14.8,11.2,17.5
Mathematics 9,2,All,3321,Mark,60.2,null,null,null,null
Mathematics 9,1,All,3321,Mark,null,63.9,54.9,59.4,61
Science 9,1,All,3321,% Acceptable,89.6,88.7,83.2,91,88.5
Science 9,1,All,3321,% Excellence,23.9,24,22.3,31.2,28.4
Science 9,1,All,3321,Mark,71.9,69.4,64.3,70.8,69.7
Social Studies 9,1,All,3321,% Acceptable,82.3,79.5,76.1,78.4,78.9
Social Studies 9,1,All,3321,% Excellence,21.2,20.5,15.2,22.2,22.9
Social Studies 9,1,All,3321,Mark,69.7,66.5,63.8,68,65
Biology 30,,All,3322,% Acceptable,87.6,93.1,94.9,90.8,89.8
Biology 30,,All,3322,% Excellence,24.4,30.1,27.8,29.8,31.6
Biology 30,,All,3322,Course Mark,68.4,70.2,69.5,70.1,69.9
Biology 30,,All,3322,Exam Mark,67.4,70,69.5,66.8,68.2
Chemistry 30,,All,3322,% Acceptable,85,73.7,79.5,92.2,84
Chemistry 30,,All,3322,% Excellence,21.6,17.9,24.4,26.7,26
Chemistry 30,,All,3322,Course Mark,67.3,62.9,68.2,70.7,67.2
Chemistry 30,,All,3322,Exam Mark,61.9,57,62.3,67.2,63.1
English Lang Arts 30-1,,All,3322,% Acceptable,98.4,97.5,97.9,99.1,98.7
English Lang Arts 30-1,,All,3322,% Excellence,12,17.4,11.2,12.6,13.1
English Lang Arts 30-1,,All,3322,Course Mark,72.5,71.6,72.4,72.1,72.6
English Lang Arts 30-1,,All,3322,Exam Mark,61.1,61.6,60.3,62.5,63
English Lang Arts 30-2,,All,3322,% Acceptable,97.4,100,94.7,93.6,97
English Lang Arts 30-2,,All,3322,% Excellence,5.2,1.1,0,1.3,4
English Lang Arts 30-2,,All,3322,Course Mark,68,61.9,59.1,61.8,63.6
English Lang Arts 30-2,,All,3322,Exam Mark,61.7,64.4,62.8,61.2,66.1
Mathematics 30-1,,All,3322,% Acceptable,null,null,null,92.3,89.2
Mathematics 30-1,,All,3322,% Excellence,null,null,null,33.8,24.2
Mathematics 30-1,,All,3322,Course Mark,null,null,null,74.5,75.2
Mathematics 30-1,,All,3322,Exam Mark,null,null,null,67.8,60.7
Mathematics 30-2,,All,3322,% Acceptable,null,null,null,78.3,80.6
Mathematics 30-2,,All,3322,% Excellence,null,null,null,1.9,12.1
Mathematics 30-2,,All,3322,Course Mark,null,null,null,62.2,65.7
Mathematics 30-2,,All,3322,Exam Mark,null,null,null,52.3,56.3
Physics 30,,All,3322,% Acceptable,81.4,70.3,92.3,90.6,96.9
Physics 30,,All,3322,% Excellence,18.6,20.3,32.7,29.7,40.6
Physics 30,,All,3322,Course Mark,67.6,65.7,70.4,69.2,73.2
Physics 30,,All,3322,Exam Mark,57,56.8,70.7,67.2,72.7
Science 30,,All,3322,% Acceptable,87.5,91.5,81,88.9,92.2
Science 30,,All,3322,% Excellence,25,16.9,15.5,7.9,21.1
Science 30,,All,3322,Course Mark,68.2,64.8,64.2,60.7,65.3
Science 30,,All,3322,Exam Mark,65.5,65.7,61.4,61.9,66.8
Social Studies 30-1,,All,3322,% Acceptable,94.6,96.6,97.4,97.3,93.8
Social Studies 30-1,,All,3322,% Excellence,15.2,15.3,11.9,15.5,11
Social Studies 30-1,,All,3322,Course Mark,68.9,70.6,69.3,72,69.8
Social Studies 30-1,,All,3322,Exam Mark,64.5,63.8,62.4,62.4,62.8
Social Studies 30-2,,All,3322,% Acceptable,92.9,96.4,91.2,97.1,91.2
Social Studies 30-2,,All,3322,% Excellence,8.8,6.5,2,5.7,9.6
Social Studies 30-2,,All,3322,Course Mark,61.4,60.6,57.1,64.3,63.5
Social Studies 30-2,,All,3322,Exam Mark,66.2,68.1,61.3,61.3,63.3
English Lang Arts 9 KAE,1,English,3323,% Acceptable,80,100,100,75,null
English Lang Arts 9 KAE,1,English,3323,% Excellence,20,0,50,0,null
English Lang Arts 9 KAE,1,English,3323,Mark,61,73,73,63.8,null
English Language Arts 9,1,English,3323,% Acceptable,90.1,92.2,93.4,93.1,88.9
English Language Arts 9,1,English,3323,% Excellence,16.1,17,17.6,16.7,30.4
English Language Arts 9,1,English,3323,Mark,67,68.3,67.9,67.7,69.9
French Language Arts 9,1,French,3323,% Acceptable,96.6,100,100,88.2,95
French Language Arts 9,1,French,3323,% Excellence,6.9,0,0,11.8,15
French Language Arts 9,1,French,3323,Mark,68.4,68.6,69.6,69.9,71.6
Mathematics 9,1,English,3323,% Acceptable,76.5,72.1,81.1,78,79.5
Mathematics 9,1,All,3323,% Acceptable,78.3,73,80.1,77.1,80.3
Mathematics 9,1,All,3323,% Excellence,23,22.4,26.5,26.4,25
Mathematics 9,1,English,3323,% Excellence,23.5,24.3,27.9,27.6,25
Mathematics 9,1,English,3323,Mark,61.3,67.2,61.5,63.5,62.3
Mathematics 9,1,All,3323,Mark,62.2,67.5,61.1,62.6,62.8
Mathematics 9 (Fr),1,French,3323,% Acceptable,86.2,81.3,71.4,70.6,85
Mathematics 9 (Fr),1,French,3323,% Excellence,20.7,6.3,14.3,17.6,25
Mathematics 9 (Fr),1,French,3323,Mark,66.2,69.8,58.3,55.5,66
Mathematics 9 KAE,1,All,3323,% Acceptable,20,100,100,66.7,75
Mathematics 9 KAE,1,All,3323,% Excellence,0,66.7,50,33.3,0
Mathematics 9 KAE,1,All,3323,Mark,44.8,84,79,64.3,58.5
Science 9,1,English,3323,% Acceptable,88,79.4,86,83.7,79.3
Science 9,1,All,3323,% Acceptable,87,79.6,85.2,83.6,82.4
Science 9,1,All,3323,% Excellence,20.4,20.4,23,21.2,26.5
Science 9,1,English,3323,% Excellence,22.6,22.1,24.8,21.7,24.1
Science 9,1,All,3323,Mark,66.3,64.7,65.2,65.2,67
Science 9,1,English,3323,Mark,66.7,64.8,66,65.9,66.2
Science 9 (Fr),1,French,3323,% Acceptable,82.8,81.3,78.6,82.4,100
Science 9 (Fr),1,French,3323,% Excellence,10.3,6.3,7.1,17.6,40
Science 9 (Fr),1,French,3323,Mark,64.3,63.3,58.4,59.4,71.8
Science 9 KAE,1,All,3323,% Acceptable,60,100,100,75,null
Science 9 KAE,1,All,3323,% Excellence,20,33.3,0,0,null
Science 9 KAE,1,All,3323,Mark,54.4,75.3,78,62.5,null
Social Studies 9,1,English,3323,% Acceptable,78.4,74.5,76.7,73.4,71.4
Social Studies 9,1,All,3323,% Acceptable,79.1,77.1,78.4,74.5,75
Social Studies 9,1,All,3323,% Excellence,18.4,20.3,23.1,21.4,28.8
Social Studies 9,1,English,3323,% Excellence,20.9,22.6,25,22.7,29.5
Social Studies 9,1,English,3323,Mark,67.3,65.1,67.3,65.7,65.4
Social Studies 9,1,All,3323,Mark,66.7,65.1,67.2,65.8,66.5
Social Studies 9 KAE,1,All,3323,% Acceptable,40,100,100,75,null
Social Studies 9 KAE,1,All,3323,% Excellence,0,50,0,25,null
Social Studies 9 KAE,1,All,3323,Mark,55.6,80,68,66,null
English Language Arts 3,1,English,3324,% Acceptable,82.5,92.1,94.6,82.7,null
English Language Arts 3,1,English,3324,% Excellence,14,9.5,18.9,14.7,null
English Language Arts 3,1,English,3324,Mark,65.6,69.6,69.1,64.8,null
Mathematics 3,1,All,3324,% Acceptable,null,88.9,86.5,77.3,null
Mathematics 3,1,All,3324,% Excellence,null,34.9,35.1,21.3,null
Mathematics 3,2,All,3324,Mark,67.3,null,null,null,null
Mathematics 3,1,All,3324,Mark,null,76.4,74.5,67.5,null
English Language Arts 6,1,English,3324,% Acceptable,94.8,97.1,100,100,98.4
English Language Arts 6,1,English,3324,% Excellence,20.7,17.4,24.1,14.3,24.2
English Language Arts 6,1,English,3324,Mark,68.4,67.1,71.6,68.7,71.9
Mathematics 6,1,All,3324,% Acceptable,null,87,96.6,95.2,100
Mathematics 6,1,All,3324,% Excellence,null,31.9,36.2,27,30.6
Mathematics 6,2,All,3324,Mark,73.8,null,null,null,null
Mathematics 6,1,All,3324,Mark,null,70.3,71.3,66,70.7
Science 6,1,All,3324,% Acceptable,98.3,92.8,96.6,96.8,100
Science 6,1,All,3324,% Excellence,43.1,37.7,37.9,36.5,50
Science 6,1,All,3324,Mark,74.9,73,75.9,70.9,77.2
Social Studies 6,1,All,3324,% Acceptable,93.2,87,91.4,96.8,96.8
Social Studies 6,1,All,3324,% Excellence,22,24.6,27.6,23.8,27.4
Social Studies 6,1,All,3324,Mark,74.9,72.5,71.2,70.5,75.2
English Language Arts 3,1,English,3325,% Acceptable,89.1,98.3,100,96.4,null
English Language Arts 3,1,English,3325,% Excellence,26.1,23.7,39.1,16.1,null
English Language Arts 3,1,English,3325,Mark,70.3,74.6,76.2,71.6,null
French Language Arts 3,1,French,3325,% Acceptable,79.6,94.8,93.5,90.9,null
French Language Arts 3,1,French,3325,% Excellence,6.1,12.1,24.2,18.2,null
French Language Arts 3,1,French,3325,Mark,65.7,71.4,77.6,72.4,null
Mathematics 3,1,All,3325,% Acceptable,68.1,88.1,93.8,85.7,null
Mathematics 3,1,All,3325,% Excellence,6.4,33.9,34.4,23.2,null
Mathematics 3,1,All,3325,Mark,60.4,74.9,75.3,69.3,null
Mathematics 3 (Fr),1,French,3325,% Acceptable,68.1,88.1,93.8,85.7,null
Mathematics 3 (Fr),1,French,3325,% Excellence,6.4,33.9,34.4,23.2,null
Mathematics 3 (Fr),1,French,3325,Mark,60.4,74.9,75.3,69.3,null
English Language Arts 6,1,English,3325,% Acceptable,94.6,100,97.5,91.1,98
English Language Arts 6,1,English,3325,% Excellence,24.3,60,30,6.7,23.5
English Language Arts 6,1,English,3325,Mark,68.6,79.2,73.8,65.6,69.5
French Language Arts 6,1,French,3325,% Acceptable,89.2,97.5,90.2,86.7,86.8
French Language Arts 6,1,French,3325,% Excellence,5.4,35,14.6,15.6,18.9
French Language Arts 6,1,French,3325,Mark,62.4,77.3,69,65.7,67.9
Mathematics 6,1,All,3325,% Acceptable,75.7,92.5,90.2,73.3,79.6
Mathematics 6,1,All,3325,% Excellence,2.7,20,19.5,11.1,13
Mathematics 6,1,All,3325,Mark,65,69.5,63.5,53.5,54.7
Mathematics 6 (Fr),1,French,3325,% Acceptable,75.7,92.5,90.2,73.3,79.6
Mathematics 6 (Fr),1,French,3325,% Excellence,2.7,20,19.5,11.1,13
Mathematics 6 (Fr),1,French,3325,Mark,65,69.5,63.5,53.5,54.7
Science 6,1,All,3325,% Acceptable,62.2,92.5,85.4,75.6,79.6
Science 6,1,All,3325,% Excellence,13.5,22.5,29.3,6.7,13
Science 6,1,All,3325,Mark,56.4,71.4,69.4,55.7,60.4
Science 6 (Fr),1,French,3325,% Acceptable,62.2,92.5,85.4,75.6,79.6
Science 6 (Fr),1,French,3325,% Excellence,13.5,22.5,29.3,6.7,13
Science 6 (Fr),1,French,3325,Mark,56.4,71.4,69.4,55.7,60.4
Social Studies 6,1,All,3325,% Acceptable,56.8,95,85.4,75,69.8
Social Studies 6,1,All,3325,% Excellence,2.7,25,14.6,2.3,1.9
Social Studies 6,1,All,3325,Mark,55.3,75.7,64.6,57,54.2
English Language Arts 3,1,English,3326,% Acceptable,97,100,98.7,100,null
English Language Arts 3,1,English,3326,% Excellence,37.3,31,42.3,29.4,null
English Language Arts 3,1,English,3326,Mark,76.5,75.5,77.2,74.3,null
Mathematics 3,1,All,3326,% Acceptable,92.5,93.1,97.4,94.1,null
Mathematics 3,1,All,3326,% Excellence,40.3,37.9,41,47.1,null
Mathematics 3,1,All,3326,Mark,79.2,77.7,79.3,81.8,null
English Language Arts 6,1,English,3326,% Acceptable,98.3,98.2,98.6,97.4,100
English Language Arts 6,1,English,3326,% Excellence,13.3,17.5,20.3,30.8,25.5
English Language Arts 6,1,English,3326,Mark,69.4,68.1,71.5,71.3,71.7
Mathematics 6,1,All,3326,% Acceptable,91.7,87.7,91.2,85.9,94.5
Mathematics 6,1,All,3326,% Excellence,26.7,31.6,22.1,30.8,18.2
Mathematics 6,1,All,3326,Mark,76,71.2,64.1,61.6,64.5
Science 6,1,All,3326,% Acceptable,93.3,93,95.7,94.9,96.4
Science 6,1,All,3326,% Excellence,46.7,42.1,40.6,44.9,50.9
Science 6,1,All,3326,Mark,73.1,74.3,75.2,72.8,76.7
Social Studies 6,1,All,3326,% Acceptable,85,87.7,91.2,91,87.3
Social Studies 6,1,All,3326,% Excellence,18.3,24.6,29.4,21.8,43.6
Social Studies 6,1,All,3326,Mark,70.6,73.9,69.9,67.1,73.9
English Language Arts 3,1,English,3328,% Acceptable,88.1,93.9,100,95,null
English Language Arts 3,1,English,3328,% Excellence,26.2,21.2,37.2,12.5,null
English Language Arts 3,1,English,3328,Mark,71.6,72.8,75.6,70.8,null
Mathematics 3,1,All,3328,% Acceptable,84.8,94.1,81.4,82.9,null
Mathematics 3,1,All,3328,% Excellence,21.7,38.2,20.9,29.3,null
Mathematics 3,1,All,3328,Mark,69.3,77,68.9,68.8,null
English Language Arts 6,1,English,3328,% Acceptable,88.4,93.2,97.9,98.1,95.6
English Language Arts 6,1,English,3328,% Excellence,23.3,15.9,12.5,21.2,26.7
English Language Arts 6,1,English,3328,Mark,67,63.9,67.3,70.3,71.9
Mathematics 6,1,All,3328,% Acceptable,73.8,72.7,83.7,75,88.9
Mathematics 6,1,All,3328,% Excellence,23.8,13.6,18.4,5.8,13.3
Mathematics 6,1,All,3328,Mark,67.9,59.5,61.9,50.1,57.1
Science 6,1,All,3328,% Acceptable,78,86.4,95.9,92.2,97.8
Science 6,1,All,3328,% Excellence,24.4,27.3,32.7,21.6,28.9
Science 6,1,All,3328,Mark,60.6,67.3,75.1,68.1,69.3
Social Studies 6,1,All,3328,% Acceptable,81.4,70.5,89.8,88.2,86.7
Social Studies 6,1,All,3328,% Excellence,14,20.5,22.4,11.8,24.4
Social Studies 6,1,All,3328,Mark,69.5,68,67.9,68,70.8
English Language Arts 3,1,English,3329,% Acceptable,97.9,94.9,98.2,92.7,null
English Language Arts 3,1,English,3329,% Excellence,25.5,30.8,29.1,41.5,null
English Language Arts 3,1,English,3329,Mark,72.2,73.3,73.5,74,null
Mathematics 3,1,All,3329,% Acceptable,95.7,86.8,90.9,84.2,null
Mathematics 3,1,All,3329,% Excellence,27.7,21.1,27.3,23.7,null
Mathematics 3,1,All,3329,Mark,76.9,73.6,73.4,72.6,null
English Language Arts 6,1,English,3329,% Acceptable,93.9,100,100,98,90.5
English Language Arts 6,1,English,3329,% Excellence,22.4,20.9,18,21.6,16.7
English Language Arts 6,1,English,3329,Mark,70,69.6,70.5,69.4,66.9
Mathematics 6,1,All,3329,% Acceptable,90.9,90.7,96,86.3,81
Mathematics 6,1,All,3329,% Excellence,27.3,27.9,24,19.6,9.5
Mathematics 6,1,All,3329,Mark,75.6,70.9,67.8,59.7,52.8
Science 6,1,All,3329,% Acceptable,95.9,95.3,100,96.1,85.7
Science 6,1,All,3329,% Excellence,49,41.9,56,25.5,21.4
Science 6,1,All,3329,Mark,72.9,76.4,80.4,69.1,66.9
Social Studies 6,1,All,3329,% Acceptable,87.8,95.3,92,87.8,83.3
Social Studies 6,1,All,3329,% Excellence,26.5,34.9,24,18.4,9.5
Social Studies 6,1,All,3329,Mark,72.4,76.3,70.7,66.5,66.6
English Lang Arts 9 KAE,1,English,3330,% Acceptable,null,null,null,null,66.7
English Lang Arts 9 KAE,1,English,3330,Mark,null,null,null,null,59.7
English Language Arts 9,1,English,3330,% Acceptable,96,94.5,95,88.4,95.9
English Language Arts 9,1,English,3330,% Excellence,30.5,28.1,30.6,18.9,20.6
English Language Arts 9,1,English,3330,Mark,71.5,71.6,72,67.5,69.4
Mathematics 9,1,All,3330,% Acceptable,85.3,82.6,87.6,68.8,83.7
Mathematics 9,1,All,3330,% Excellence,35,28.9,35.4,25.9,27.9
Mathematics 9,1,All,3330,Mark,68.6,72.9,66.9,60.2,66
Science 9,1,All,3330,% Acceptable,89.8,85.7,93.3,86.2,90.2
Science 9,1,All,3330,% Excellence,30.5,25.3,30,28.6,37
Science 9,1,All,3330,Mark,73,68.6,68.6,67.3,72.6
Social Studies 9,1,All,3330,% Acceptable,88.2,86.9,86,71.6,79.5
Social Studies 9,1,All,3330,% Excellence,43.8,38.3,35.8,23.2,25.7
Social Studies 9,1,All,3330,Mark,76.5,72.2,71.9,65.8,66.9
English Language Arts 3,1,English,3331,% Acceptable,97.8,100,96.3,100,null
English Language Arts 3,1,English,3331,% Excellence,43.5,46.3,46.3,44.9,null
English Language Arts 3,1,English,3331,Mark,79.7,80.4,77.1,78.5,null
Mathematics 3,1,All,3331,% Acceptable,93.5,96.3,98.1,100,null
Mathematics 3,1,All,3331,% Excellence,50,50,51.9,51.4,null
Mathematics 3,1,All,3331,Mark,83.2,83.6,82.3,84.5,null
English Language Arts 6,1,English,3331,% Acceptable,98.1,100,98.5,100,100
English Language Arts 6,1,English,3331,% Excellence,11.3,29.1,34.3,23.4,47.3
English Language Arts 6,1,English,3331,Mark,68.4,72.4,73.3,72.1,77.1
Mathematics 6,1,All,3331,% Acceptable,96.2,94.5,98.5,93.6,98.2
Mathematics 6,1,All,3331,% Excellence,34,32.7,45.6,29.8,50.9
Mathematics 6,1,All,3331,Mark,78.1,72.9,76.9,67.3,74.4
Science 6,1,All,3331,% Acceptable,94.3,98.2,97.1,97.9,100
Science 6,1,All,3331,% Excellence,50.9,49.1,75,66,65.5
Science 6,1,All,3331,Mark,76,78.3,83.2,79.6,81.1
Social Studies 6,1,All,3331,% Acceptable,96.2,90.9,98.5,95.7,96.4
Social Studies 6,1,All,3331,% Excellence,41.5,23.6,38.8,36.2,52.7
Social Studies 6,1,All,3331,Mark,80.1,74.3,76.8,73.8,79.1
English Language Arts 3,1,English,3332,% Acceptable,100,100,100,100,null
English Language Arts 3,1,English,3332,Mark,56.5,60.2,70,63.3,null
Mathematics 3,1,All,3332,% Acceptable,50,100,100,75,null
Mathematics 3,1,All,3332,Mark,46.5,63.5,77.5,63.8,null
English Language Arts 6,1,English,3332,% Acceptable,66.7,100,100,100,100
English Language Arts 6,1,English,3332,Mark,49,56,64,55.5,54.2
Mathematics 6,1,All,3332,% Acceptable,66.7,100,100,50,80
Mathematics 6,1,All,3332,Mark,44.4,50,48,34,51.6
English Language Arts 9,1,English,3332,% Acceptable,100,100,null,null,null
English Language Arts 9,1,English,3332,Mark,56,56,null,null,null
Mathematics 9,1,All,3332,% Acceptable,100,100,null,null,null
Mathematics 9,1,All,3332,Mark,44.9,56,null,null,null
English Language Arts 3,1,English,3333,% Acceptable,93.9,95.2,94.5,96.8,null
English Language Arts 3,1,English,3333,% Excellence,21.2,24.1,18.2,14.5,null
English Language Arts 3,1,English,3333,Mark,71.3,72.3,70.2,70.3,null
Mathematics 3,1,All,3333,% Acceptable,87.9,89.4,87.3,93.7,null
Mathematics 3,1,All,3333,% Excellence,28.8,32.9,29.1,30.2,null
Mathematics 3,1,All,3333,Mark,73.4,75.3,73.5,75.9,null
English Language Arts 6,1,English,3333,% Acceptable,98.4,100,100,97.2,98.8
English Language Arts 6,1,English,3333,% Excellence,33.9,34.6,28.8,25,27.2
English Language Arts 6,1,English,3333,Mark,70.7,71.8,70.3,70.8,72.5
Mathematics 6,1,All,3333,% Acceptable,90.3,92.5,91.3,88.9,94
Mathematics 6,1,All,3333,% Excellence,25.8,37.5,22.5,25,24.1
Mathematics 6,1,All,3333,Mark,73.4,73.9,65.5,62.6,64.5
Science 6,1,All,3333,% Acceptable,87.1,95,93.6,94.5,92.8
Science 6,1,All,3333,% Excellence,37.1,43.8,41,31.5,42.2
Science 6,1,All,3333,Mark,68.8,76.1,75,71,72.7
Social Studies 6,1,All,3333,% Acceptable,87.1,96.3,92.5,97.3,93.8
Social Studies 6,1,All,3333,% Excellence,37.1,46.3,38.8,43.8,41.3
Social Studies 6,1,All,3333,Mark,75.8,81.5,73.7,77.4,78.1
English Language Arts 3,1,English,3334,% Acceptable,92.5,98.1,96.8,94.4,null
English Language Arts 3,1,English,3334,% Excellence,30.2,32.1,37.1,11.1,null
English Language Arts 3,1,English,3334,Mark,73.7,74.5,75.7,66.7,null
Mathematics 3,1,All,3334,% Acceptable,96.2,90.9,93.5,87,null
Mathematics 3,1,All,3334,% Excellence,37.7,40,35.5,14.8,null
Mathematics 3,1,All,3334,Mark,79.8,77.3,77.3,69.4,null
English Language Arts 6,1,English,3334,% Acceptable,100,100,98.1,91.7,96.6
English Language Arts 6,1,English,3334,% Excellence,22.2,20.6,17.3,25,25.4
English Language Arts 6,1,English,3334,Mark,71.5,68.1,68.3,68.3,69.4
Mathematics 6,1,All,3334,% Acceptable,98.2,89.7,90.4,83.3,86.4
Mathematics 6,1,All,3334,% Excellence,23.6,32.4,23.1,16.7,18.6
Mathematics 6,1,All,3334,Mark,77.8,70.5,67.8,57.3,59.6
Science 6,1,All,3334,% Acceptable,94.5,94.1,90.4,85,96.6
Science 6,1,All,3334,% Excellence,43.6,29.4,34.6,38.3,37.9
Science 6,1,All,3334,Mark,72.9,73.5,73.1,70.6,70.6
Social Studies 6,1,All,3334,% Acceptable,81.8,91.2,82.7,86.4,84.2
Social Studies 6,1,All,3334,% Excellence,27.3,25,17.3,27.1,17.5
Social Studies 6,1,All,3334,Mark,69.8,72.8,65.3,67.1,67.9
English Language Arts 3,1,English,3335,% Acceptable,93.1,93.8,100,100,null
English Language Arts 3,1,English,3335,% Excellence,13.8,18.8,32,29.6,null
English Language Arts 3,1,English,3335,Mark,69,72.6,74.4,73.4,null
Mathematics 3,1,All,3335,% Acceptable,90,100,88,100,null
Mathematics 3,1,All,3335,% Excellence,20,43.8,24,40.7,null
Mathematics 3,1,All,3335,Mark,68.4,76.9,72.7,81.1,null
English Language Arts 6,1,English,3335,% Acceptable,100,100,95.2,100,100
English Language Arts 6,1,English,3335,% Excellence,26.1,50,33.3,31,44.1
English Language Arts 6,1,English,3335,Mark,70.5,74.7,72.3,73.9,74.1
Mathematics 6,1,All,3335,% Acceptable,91.3,95.5,100,96.6,85.3
Mathematics 6,1,All,3335,% Excellence,21.7,50,47.6,55.2,29.4
Mathematics 6,1,All,3335,Mark,74.7,79.7,76,74.4,63.2
Science 6,1,All,3335,% Acceptable,91.3,95.5,95.2,100,94.1
Science 6,1,All,3335,% Excellence,34.8,54.5,61.9,58.6,52.9
Science 6,1,All,3335,Mark,66.2,80.4,81.4,82.8,76.5
Social Studies 6,1,All,3335,% Acceptable,73.9,90.9,95.2,96.6,85.3
Social Studies 6,1,All,3335,% Excellence,8.7,45.5,47.6,51.7,44.1
Social Studies 6,1,All,3335,Mark,66.3,80,76.4,77.1,74.2
